05/05 10:37:16 | ======= ocx location: E:\新平台测试程序\ipphone\QYIPPhone.exe
05/05 10:37:16 | ======= FileVersion: F1.02_20160427     ProductVersion: 1.0.0.1
05/05 10:37:16 | =======
05/05 10:37:16 | 初始化: 读取QYIPPhone.ini失败!
05/05 10:37:16 | 初始化: 调入QYIPPhone.dll成功.
05/05 10:37:17 | 初始化: dll初始化成功!
05/05 10:37:17 | 初始化: 登录操作成功!
05/05 10:37:20 | 操作: 更改配置!
05/05 10:37:26 | 操作：退出程序
05/05 10:37:26 | 操作: 退出程序
05/05 10:37:26 | 操作: 退出程序 - 退出登录!
05/05 10:37:28 | 操作: 退出程序 - 退出dll!
05/05 10:37:28 | 操作: 退出程序 - 释放!
